id,description,imageurl,price,city,country,continent
1001,T-Shrit - I Love New York,ekfkeofko,12.99,New York,United States of America,North America
1002,Tanzania Mug,ekfkeofko,4.99,Dodoma, Tanzania, Africa
1003,Paris Mug,ekfkeofko,9.99,Paris,France,Europe
1004,Hat - Brussels,ekfkeofko,20.99,Brussels,Belgium,Europe
1005,Beherovka 30ml,ekfkeofko,13.49,Prague,Czech Republic,Europe
1006,Zeleny 30ml,ekfkeofko,13.49,Prague,Czech Republic,Europe
1007,Prague Castle Magnet,ekfkeofko,5.99,Prague,Czech Republic,Europe
1008,Karlovy Vary Magnet,ekfkeofko,4.99,Karlovy Vary,Czech Republic,Europe
1009,Pillow - Bali Indonesia,ekfkeofko,21.99,Kota Denpasar,Indonesia,Asia
1010,Pillow - I love Kyoto,ekfkeofko,59.99,Kyoto,Japan,Asia
1012,Serbian Traditional Hat,ekfkeofko,14.99,Belgrade,Serbia,Europe
1013,Slivovitza 30ml,ekfkeofko,9.99,Nis,Serbia,Europe
1014,Ushanka - Tri-color,ekfkeofko,89.99,Moscow,Russia,Europe
1015,Pirot Rug - Traditional,jfieffe,699.99,Pirot,Serbia,Europe
